destination,origon,year,value,world_tot,pct_v_world,med_tot,pct_v_med,med_region,Latitude,Longitude
Syrian Arab Republic,WORLD,2000,834916,173230585,0.00481968,20265739,0.041198399,Eastern Mediterranean,35,38
Syrian Arab Republic,WORLD,2005,882398,191446828,0.004609102,25646897,0.034405644,Eastern Mediterranean,35,38
Syrian Arab Republic,WORLD,2010,1783595,220983187,0.00807118,32307811,0.055206309,Eastern Mediterranean,35,38
Syrian Arab Republic,WORLD,2015,835716,247958644,0.003370385,36161904,0.023110398,Eastern Mediterranean,35,38
Syrian Arab Republic,WORLD,2020,868711,280598105,0.003095926,40558200,0.021418875,Eastern Mediterranean,35,38
Turkey,WORLD,1990,1163686,152986157,0.007606479,16142994,0.072086132,Eastern Mediterranean,39,35
Turkey,WORLD,1995,1216173,161289976,0.007540289,18182342,0.066887588,Eastern Mediterranean,39,35
Turkey,WORLD,2000,1280963,173230585,0.007394554,20265739,0.063208304,Eastern Mediterranean,39,35
Turkey,WORLD,2005,1324108,191446828,0.006916322,25646897,0.05162839,Eastern Mediterranean,39,35
Turkey,WORLD,2010,1373749,220983187,0.006216532,32307811,0.042520646,Eastern Mediterranean,39,35
Turkey,WORLD,2015,4346197,247958644,0.017527911,36161904,0.120187173,Eastern Mediterranean,39,35
Turkey,WORLD,2020,6052652,280598105,0.021570538,40558200,0.149233743,Eastern Mediterranean,39,35
Algeria,WORLD,1990,273954,152986157,0.001790711,16142994,0.016970458,Southern Mediterranean,28,3
Algeria,WORLD,1995,262032,161289976,0.001624602,18182342,0.014411345,Southern Mediterranean,28,3
Algeria,WORLD,2000,250110,173230585,0.001443798,20265739,0.012341519,Southern Mediterranean,28,3
Algeria,WORLD,2005,197728,191446828,0.001032809,25646897,0.007709627,Southern Mediterranean,28,3
Algeria,WORLD,2010,217268,220983187,0.000983188,32307811,0.006724937,Southern Mediterranean,28,3
Algeria,WORLD,2015,239473,247958644,0.000965778,36161904,0.006622245,Southern Mediterranean,28,3
Algeria,WORLD,2020,250378,280598105,0.000892301,40558200,0.006173302,Southern Mediterranean,28,3
Egypt,WORLD,1990,173833,152986157,0.001136266,16142994,0.010768325,Southern Mediterranean,27,30
Egypt,WORLD,1995,166955,161289976,0.001035123,18182342,0.00918226,Southern Mediterranean,27,30
